Datum,Beschreibung,Karte,Währung,Betrag,Status
03/09/2026,APPLE.COM/BILL,**1234,CHF,30.00,Verarbeitete Transaktion
02/09/2026,WHOP*FELIX  FRIENDS,**1234,CHF,48.40,Verarbeitete Transaktion
02/09/2026,CHARGEMAP,**1234,CHF,20.65,Verarbeitete Transaktion
28/08/2026,DIGITALREPUBLIC.CH,**1234,CHF,13.00,Verarbeitete Transaktion
21/08/2026,Ihre Zahlung,,CHF,-255.15,Verarbeitete Transaktion
16/08/2026,APPLE.COM/BILL,**1234,CHF,52.00,Verarbeitete Transaktion
20/07/2026,Ihre Zahlung,,CHF,-147.25,Verarbeitete Transaktion
15/07/2026,Rundung,,CHF,-0.02,Verarbeitete Transaktion
07/07/2026,APPLE.COM/BILL,**1234,CHF,35.00,Verarbeitete Transaktion
17/05/2026,GROK XAI,**1234,CHF,24.70,Verarbeitete Transaktion
15/05/2026,Rundung,,CHF,-0.03,Verarbeitete Transaktion
17/04/2026,REPUBLIK VIA PROJECT R,**1234,CHF,240.00,Verarbeitete Transaktion
19/01/2026,Ihre Zahlung,,CHF,-106.40,Verarbeitete Transaktion
01/01/2026,APPLE.COM/BILL,**1234,CHF,31.90,Verarbeitete Transaktion
