"Datum";"Buchungstext";"Whg";"Betrag Detail";"ZKB-Referenz";"Referenznummer";"Belastung CHF";"Gutschrift CHF";"Valuta";"Saldo CHF";"Zahlungszweck";"Details"
"01.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, Bergbahnen Disentis AG 0718";"";"";"L115B1118W797Y8X-1";"";"25.30";"";"30.12.2024";"24379.17";"";""
"01.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Bergbahnen Disentis AG 0718";"";"";"L115B1118W7A9DBM-1";"";"48.00";"";"30.12.2024";"24331.17";"";""
"02.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, Bergrestaurant Milez 0649";"";"";"L11591118W9SGAQH-1";"";"13.00";"";"31.12.2024";"24318.17";"";""
"02.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, Bergrestaurant Milez 0649";"";"";"L11591118W9T1KW4-1";"";"38.50";"";"31.12.2024";"24279.67";"";""
"02.01.2025";"Belastung TWINT: MUSTER, CARLA +41760000000";"";"";"L113P1118WAYLHE8-1";"";"101.00";"";"02.01.2025";"24178.67";"";""
"03.01.2025";"Belastung eBill: Swisscom (Schweiz) AG, Alte Tiefenaustrasse 6";"";"";"Z250037176870";"";"32.60";"";"03.01.2025";"24146.07";"";"Swisscom (Schweiz) AG, Alte Tiefenaustrasse 6, CH-3050 Bern"
"03.01.2025";"Belastung eBill: Cornèr Banca SA, CH-6901 Lugano";"";"";"Z250037176881";"";"31.80";"";"03.01.2025";"24114.27";"";"Cornèr Banca SA, CH-6901 Lugano"
"03.01.2025";"Belastung eBanking: Die Sozialfirma AG, Turicaphonstrasse 31, CH-8616";"";"";"Z250037176251";"";"50.00";"";"03.01.2025";"24064.27";"Spende";"Die Sozialfirma AG, Turicaphonstrasse 31, CH-8616 Riedikon"
"03.01.2025";"Belastungen eBanking Mobile (2)";"";"";"Z250037176589";"";"3129.20";"";"03.01.2025";"20935.07";"";""
"";"STWEG Rainstrasse 1, Rainstrasse 1, CH-8712 Stäfa";"CHF";"3029.20";"";"";"";"";"";"";"";""
"";"Muster Anna oder Muster Beat, Grundstrasse 1, CH-8712 Stäfa";"CHF";"100.00";"";"";"";"";"";"";"Sponsoring Rudern, herzliche GrüsseAnna";""
"04.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Coop-1361 Sedrun 0718";"";"";"L115B1118WEWWW8S-1";"";"99.70";"";"02.01.2025";"20835.37";"";""
"04.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, Migros MM Staefa 8712 Stäfa";"";"";"L115B1118WEZRO3X-1";"";"71.20";"";"03.01.2025";"20764.17";"";""
"05.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, IBS de Luxe GmbH 0730";"";"";"L115B1118WHLCYAR-1";"";"24.70";"";"03.01.2025";"20739.47";"";""
"05.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Restaurant Schneehueners";"";"";"L115B1118WHM8ELP-1";"";"7.50";"";"03.01.2025";"20731.97";"";""
"05.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Hotel Posta 0718 Rueras";"";"";"L115B1118WHMCXW7-1";"";"270.00";"";"02.01.2025";"20461.97";"";""
"06.01.2025";"Miete ZKB Schrankfach Periode vom 01.10.2024 bis 31.12.2024";"";"";"L11FL1118W58FGP7-1";"";"32.45";"";"31.12.2024";"20429.52";"";""
"06.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Coop-1361 Sedrun 0718";"";"";"L11591118WM516XZ-1";"";"48.05";"";"04.01.2025";"20381.47";"";""
"06.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Denner Satellit 5261 Sed";"";"";"L11591118WM4NZFA-1";"";"1.40";"";"04.01.2025";"20380.07";"";""
"06.01.2025";"Belastung TWINT: PARKINGPAY-TWINT SCHLIEREN";"";"";"L113R1118WMTT8NK-1";"";"0.60";"";"06.01.2025";"20379.47";"";""
"06.01.2025";"Belastung TWINT: PARKINGPAY-TWINT SCHLIEREN";"";"";"L113P1118WN4YX9F-1";"";"0.10";"";"06.01.2025";"20379.37";"";""
"06.01.2025";"Belastung TWINT: BIO HOFLADEN LUTZELSEE HOMBRECHTIKON";"";"";"L113P1118WNEWF6Q-1";"";"16.00";"";"06.01.2025";"20363.37";"";""
"07.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Merz Back.-Conf. Verkauf";"";"";"L115B1118WONRHZO-1";"";"6.30";"";"05.01.2025";"20357.07";"";""
"08.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Tschirky AG 0871 Stafa";"";"";"L115B1118WR89BCZ-1";"";"8.90";"";"06.01.2025";"20348.17";"";""
"09.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Migros MM Staefa 0871 Stafa";"";"";"L115B1118WTT5XYT-1";"";"119.75";"";"07.01.2025";"20228.42";"";""
"09.01.2025";"Belastung TWINT: PARKINGPAY-TWINT SCHLIEREN";"";"";"L113P1118WVSCQQ3-1";"";"0.40";"";"09.01.2025";"20228.02";"";""
"10.01.2025";"Belastung eBill: SBB Contact Center Swiss Pass, Division";"";"";"Z250108983305";"";"170.00";"";"10.01.2025";"20058.02";"";"SBB Contact Center Swiss Pass, Division Personenverkehr, CH-3000 Bern 65"
"10.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Valse des Roses AG 0871";"";"";"L115B1118WXF8CQ2-1";"";"40.50";"";"08.01.2025";"20017.52";"";""
"10.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Marc OPolo Store 0000";"";"";"L115B1118WXFYZYD-1";"";"129.80";"";"08.01.2025";"19887.72";"";""
"11.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Migros MM Staefa 0871 Stafa";"";"";"L11591118X11XLYG-1";"";"2.10";"";"09.01.2025";"19885.62";"";""
"12.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Migros MM Staefa 0871 Stafa";"";"";"L115B1118X3KK2D9-1";"";"85.30";"";"10.01.2025";"19800.32";"";""
"12.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, Migros TA Hitz ZH-Bhof 0800";"";"";"L115B1118X3MK138-1";"";"12.90";"";"10.01.2025";"19787.42";"";""
"12.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 6267, Sora Sushi - HB Zurich 0800";"";"";"L115B1118X3MMLLC-1";"";"11.10";"";"10.01.2025";"19776.32";"";""
"12.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Coop-1140 Stafa 0871 Stafa";"";"";"L115B1118X3MT3SQ-1";"";"32.65";"";"10.01.2025";"19743.67";"";""
"13.01.2025";"Einkauf ZKB Visa Debit Card Nr. xxxx 0688, Fischerei Weidmann 0871";"";"";"L11591118X63F8B1-1";"";"69.35";"";"11.01.2025";"19674.32";"";""
